Active,ParkCode,Resource,Description,Year,LocationID,AcceptedSpecies,USDA_CName,Family,FamilyCommonName,Origin,SumOfSeedling,SumOfSmallSapling,SumOfLargeSapling
TRUE,PERI,forest,OAH,2021,PERIVegMon8,Red oak group,NA,Fagaceae,Beech family,N,5,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon8,Sassafras albidum,sassafras,Lauraceae,Laurel family,N,14,7,0
TRUE,PERI,forest,OAH,2021,PERIVegMon8,Ulmus,elm,Ulmaceae,Elm family,N,25,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon8,White oak group,NA,Fagaceae,Beech family,N,7,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Acer rubrum,red maple,Aceraceae,Maple family,N,4,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Carya,hickory,Juglandaceae,Walnut family,N,9,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Celtis occidentalis,common hackberry,Ulmaceae,Elm family,N,2,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Cornus florida,flowering dogwood,Cornaceae,Dogwood family,N,19,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Crataegus,hawthorn,Rosaceae,Rose family,N,1,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Diospyros virginiana,common persimmon,Ebenaceae,Ebony family,N,9,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Fraxinus,ash,Oleaceae,Olive family,N,1,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Juniperus virginiana,eastern redcedar,Cupressaceae,Cypress family,N,3,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Morus rubra,red mulberry,Moraceae,Mulberry family,N,1,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Nyssa sylvatica,blackgum,Cornaceae,Dogwood family,N,23,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Prunus serotina,black cherry,Rosaceae,Rose family,N,4,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Quercus,oak,Fagaceae,Beech family,N,6,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Red oak group,NA,Fagaceae,Beech family,N,29,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Sassafras albidum,sassafras,Lauraceae,Laurel family,N,12,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,Ulmus,elm,Ulmaceae,Elm family,N,12,0,0
TRUE,PERI,forest,OAH,2021,PERIVegMon9,White oak group,NA,Fagaceae,Beech family,N,19,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Carya,hickory,Juglandaceae,Walnut family,N,15,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Celtis occidentalis,common hackberry,Ulmaceae,Elm family,N,27,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Diospyros virginiana,common persimmon,Ebenaceae,Ebony family,N,1,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Juniperus virginiana,eastern redcedar,Cupressaceae,Cypress family,N,10,2,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Morus rubra,red mulberry,Moraceae,Mulberry family,N,2,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Nyssa sylvatica,blackgum,Cornaceae,Dogwood family,N,1,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Quercus stellata,post oak,Fagaceae,Beech family,N,0,3,1
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Red oak group,NA,Fagaceae,Beech family,N,14,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Sassafras albidum,sassafras,Lauraceae,Laurel family,N,12,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,Ulmus,elm,Ulmaceae,Elm family,N,9,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon11,White oak group,NA,Fagaceae,Beech family,N,79,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon12,Acer rubrum,red maple,Aceraceae,Maple family,N,1,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon12,Carya,hickory,Juglandaceae,Walnut family,N,5,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon12,Carya texana,black hickory,Julglandaceae,Walnut family,N,1,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon12,Diospyros virginiana,common persimmon,Ebenaceae,Ebony family,N,1,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon12,Juniperus virginiana,eastern redcedar,Cupressaceae,Cypress family,N,1,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon12,Ulmus,elm,Ulmaceae,Elm family,N,3,0,0
TRUE,PERI,forest,QUMA,2007,PERIVegMon12,White oak group,NA,Fagaceae,Beech family,N,33,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon11,Carya,hickory,Juglandaceae,Walnut family,N,25,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon11,Celtis,hackberry,Ulmaceae,Elm family,N,2,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon11,Juniperus virginiana,eastern redcedar,Cupressaceae,Cypress family,N,5,1,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon11,Morus rubra,red mulberry,Moraceae,Mulberry family,N,1,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon11,Red oak group,NA,Fagaceae,Beech family,N,43,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon11,Ulmus,elm,Ulmaceae,Elm family,N,31,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon11,White oak group,NA,Fagaceae,Beech family,N,51,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon12,Carya,hickory,Juglandaceae,Walnut family,N,1,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon12,Celtis,hackberry,Ulmaceae,Elm family,N,1,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon12,Morus rubra,red mulberry,Moraceae,Mulberry family,N,2,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon12,Red oak group,NA,Fagaceae,Beech family,N,4,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon12,Ulmus,elm,Ulmaceae,Elm family,N,1,0,0
TRUE,PERI,forest,QUMA,2012,PERIVegMon12,White oak group,NA,Fagaceae,Beech family,N,19,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Carya,hickory,Juglandaceae,Walnut family,N,52,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Celtis occidentalis,common hackberry,Ulmaceae,Elm family,N,36,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Diospyros virginiana,common persimmon,Ebenaceae,Ebony family,N,2,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Juniperus virginiana,eastern redcedar,Cupressaceae,Cypress family,N,12,3,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Quercus stellata,post oak,Fagaceae,Beech family,N,9,1,1
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Quercus velutina,black oak,Fagaceae,Beech family,N,2,1,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Red oak group,NA,Fagaceae,Beech family,N,9,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Sassafras albidum,sassafras,Lauraceae,Laurel family,N,2,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Ulmus,elm,Ulmaceae,Elm family,N,2,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Ulmus alata,winged elm,Ulmaceae,Elm family,N,1,1,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,Ulmus rubra,slippery elm,Ulmaceae,Elm family,N,7,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon11,White oak group,NA,Fagaceae,Beech family,N,80,1,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,Amelanchier,serviceberry,Rosaceae,Rose family,N,2,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,Carya,hickory,Juglandaceae,Walnut family,N,5,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,Celtis occidentalis,common hackberry,Ulmaceae,Elm family,N,7,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,Juniperus virginiana,eastern redcedar,Cupressaceae,Cypress family,N,1,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,Morus rubra,red mulberry,Moraceae,Mulberry family,N,5,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,Prunus serotina,black cherry,Rosaceae,Rose family,N,1,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,Quercus stellata,post oak,Fagaceae,Beech family,N,9,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,Red oak group,NA,Fagaceae,Beech family,N,1,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,Ulmus alata,winged elm,Ulmaceae,Elm family,N,3,0,0
TRUE,PERI,forest,QUMA,2016,PERIVegMon12,White oak group,NA,Fagaceae,Beech family,N,113,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Carya,hickory,Juglandaceae,Walnut family,N,92,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Celtis occidentalis,common hackberry,Ulmaceae,Elm family,N,50,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Diospyros virginiana,common persimmon,Ebenaceae,Ebony family,N,2,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Fraxinus,ash,Oleaceae,Olive family,N,3,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Juglans nigra,black walnut,Juglandaceae,Walnut family,N,3,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Juniperus virginiana,eastern redcedar,Cupressaceae,Cypress family,N,1,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Morus rubra,red mulberry,Moraceae,Mulberry family,N,7,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Nyssa sylvatica,blackgum,Cornaceae,Dogwood family,N,5,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Red oak group,NA,Fagaceae,Beech family,N,13,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Sassafras albidum,sassafras,Lauraceae,Laurel family,N,10,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,Ulmus,elm,Ulmaceae,Elm family,N,8,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon11,White oak group,NA,Fagaceae,Beech family,N,78,0,1
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,Amelanchier arborea,common serviceberry,Rosaceae,Rose family,N,2,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,Carya,hickory,Juglandaceae,Walnut family,N,9,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,Cornus florida,flowering dogwood,Cornaceae,Dogwood family,N,1,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,Morus rubra,red mulberry,Moraceae,Mulberry family,N,5,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,Nyssa sylvatica,blackgum,Cornaceae,Dogwood family,N,2,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,Prunus serotina,black cherry,Rosaceae,Rose family,N,1,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,Red oak group,NA,Fagaceae,Beech family,N,4,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,Sassafras albidum,sassafras,Lauraceae,Laurel family,N,1,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,Ulmus,elm,Ulmaceae,Elm family,N,3,0,0
TRUE,PERI,forest,QUMA,2021,PERIVegMon12,White oak group,NA,Fagaceae,Beech family,N,61,0,0
