"","Year","MeanSmSapling","SDSmSapling","CI95","CI95high","CI95low"
"1","2007",114.285714285714,186.445447147161,138.118183233669,252.403897519383,-23.8324689479543
"2","2012",400,525.991127935317,389.652523561557,789.652523561557,10.3474764384433
"3","2016",571.428571428571,689.720440261332,510.942667711432,1082.37123914,60.4859037171392
"4","2021",728.571428571429,958.669713221201,710.179417825868,1438.7508463973,18.3920107455609
