"","Year","MeanLgSapling","SDLgSapling","CI95","CI95high","CI95low"
"1","2007",57.1428571428571,78.6795792469443,58.2855774139663,115.428434556823,-1.14272027110913
"2","2012",71.4285714285714,149.602648308619,110.825157210853,182.253728639425,-39.3965857822818
"3","2016",14.2857142857143,37.7964473009227,27.9994857142857,42.2852,-13.7137714285714
"4","2021",57.1428571428571,78.6795792469443,58.2855774139663,115.428434556823,-1.14272027110913
